ENSG,Gene,Pathway
ENSG00000094914,AAAS,Not Annotated
ENSG00000103591,AAGAB,Not Annotated
ENSG00000127837,AAMP,Not Annotated
ENSG00000131043,AAR2,Not Annotated
ENSG00000090861,AARS,Not Annotated
ENSG00000124608,AARS2,Not Annotated
ENSG00000266967,AARSD1,Not Annotated
ENSG00000149313,AASDHPPT,Not Annotated
ENSG00000275700,AATF,Not Annotated
ENSG00000135776,ABCB10,Not Annotated
ENSG00000131269,ABCB7,Not Annotated
ENSG00000117528,ABCD3,Not Annotated
ENSG00000164163,ABCE1,Not Annotated
ENSG00000204574,ABCF1,Not Annotated
ENSG00000033050,ABCF2,Not Annotated
ENSG00000161204,ABCF3,Not Annotated
ENSG00000144827,ABHD10,Not Annotated
ENSG00000100997,ABHD12,Not Annotated
ENSG00000139826,ABHD13,Not Annotated
ENSG00000248487,ABHD14A,Not Annotated
ENSG00000204427,ABHD16A,Not Annotated
ENSG00000100439,ABHD4,Not Annotated
ENSG00000127220,ABHD8,Not Annotated
ENSG00000136754,ABI1,Not Annotated
ENSG00000146109,ABT1,Not Annotated
ENSG00000177646,ACAD9,Not Annotated
ENSG00000072778,ACADVL,Not Annotated
ENSG00000131584,ACAP3,Not Annotated
ENSG00000182827,ACBD3,Not Annotated
ENSG00000107897,ACBD5,Not Annotated
ENSG00000230124,ACBD6,Not Annotated
ENSG00000100813,ACIN1,Not Annotated
ENSG00000131473,ACLY,Not Annotated
ENSG00000112304,ACOT13,Not Annotated
ENSG00000101473,ACOT8,Not Annotated
ENSG00000123130,ACOT9,Not Annotated
ENSG00000161533,ACOX1,Not Annotated
ENSG00000087008,ACOX3,Not Annotated
ENSG00000143727,ACP1,Not Annotated
ENSG00000176715,ACSF3,Not Annotated
ENSG00000123983,ACSL3,Not Annotated
ENSG00000131069,ACSS2,Not Annotated
ENSG00000131966,ACTR10,Not Annotated
ENSG00000138107,ACTR1A,Not Annotated
ENSG00000115073,ACTR1B,Not Annotated
ENSG00000101442,ACTR5,Not Annotated
ENSG00000113812,ACTR8,Not Annotated
ENSG00000115170,ACVR1,Not Annotated
ENSG00000135503,ACVR1B,Not Annotated
ENSG00000133597,ADCK2,Not Annotated
ENSG00000197894,ADH5,Not Annotated
ENSG00000182551,ADI1,Not Annotated
ENSG00000159346,ADIPOR1,Not Annotated
ENSG00000006831,ADIPOR2,Not Annotated
ENSG00000156110,ADK,Not Annotated
ENSG00000101126,ADNP,Not Annotated
ENSG00000181915,ADO,Not Annotated
ENSG00000144843,ADPRH,Not Annotated
ENSG00000116863,ADPRHL2,Not Annotated
ENSG00000170222,ADPRM,Not Annotated
ENSG00000239900,ADSL,Not Annotated
ENSG00000104964,AES,Not Annotated
ENSG00000072364,AFF4,Not Annotated
ENSG00000119844,AFTPH,Not Annotated
ENSG00000173744,AGFG1,Not Annotated
ENSG00000164252,AGGF1,Not Annotated
ENSG00000204310,AGPAT1,Not Annotated
ENSG00000160216,AGPAT3,Not Annotated
ENSG00000018510,AGPS,Not Annotated
ENSG00000101444,AHCY,Not Annotated
ENSG00000100591,AHSA1,Not Annotated
ENSG00000164022,AIMP1,Not Annotated
ENSG00000110711,AIP,Not Annotated
ENSG00000004455,AK2,Not Annotated
ENSG00000147853,AK3,Not Annotated
ENSG00000105127,AKAP8,Not Annotated
ENSG00000127914,AKAP9,Not Annotated
ENSG00000166452,AKIP1,Not Annotated
ENSG00000174574,AKIRIN1,Not Annotated
ENSG00000135334,AKIRIN2,Not Annotated
ENSG00000117448,AKR1A1,Not Annotated
ENSG00000053371,AKR7A2,Not Annotated
ENSG00000142208,AKT1,Not Annotated
ENSG00000204673,AKT1S1,Not Annotated
ENSG00000166971,AKTIP,Not Annotated
ENSG00000148218,ALAD,Not Annotated
ENSG00000072210,ALDH3A2,Not Annotated
ENSG00000143149,ALDH9A1,Not Annotated
ENSG00000253710,ALG11,Not Annotated
ENSG00000120697,ALG5,Not Annotated
ENSG00000159063,ALG8,Not Annotated
ENSG00000086848,ALG9,Not Annotated
ENSG00000100601,ALKBH1,Not Annotated
ENSG00000189046,ALKBH2,Not Annotated
ENSG00000166199,ALKBH3,Not Annotated
ENSG00000091542,ALKBH5,Not Annotated
ENSG00000003393,ALS2,Not Annotated
ENSG00000183684,ALYREF,Not Annotated
ENSG00000110497,AMBRA1,Not Annotated
ENSG00000123505,AMD1,Not Annotated
ENSG00000164162,ANAPC10,Not Annotated
ENSG00000141552,ANAPC11,Not Annotated
ENSG00000129055,ANAPC13,Not Annotated
ENSG00000110200,ANAPC15,Not Annotated
ENSG00000166295,ANAPC16,Not Annotated
ENSG00000176248,ANAPC2,Not Annotated
ENSG00000089053,ANAPC5,Not Annotated
ENSG00000196510,ANAPC7,Not Annotated
ENSG00000185722,ANKFY1,Not Annotated
ENSG00000154122,ANKH,Not Annotated
ENSG00000131503,ANKHD1,Not Annotated
ENSG00000254996,ANKHD1-EIF4EBP3,Not Annotated
ENSG00000088448,ANKRD10,Not Annotated
ENSG00000132466,ANKRD17,Not Annotated
ENSG00000206560,ANKRD28,Not Annotated
ENSG00000213337,ANKRD39,Not Annotated
ENSG00000186106,ANKRD46,Not Annotated
ENSG00000177119,ANO6,Not Annotated
ENSG00000140350,ANP32A,Not Annotated
ENSG00000136938,ANP32B,Not Annotated
ENSG00000248546,ANP32C,Not Annotated
ENSG00000143401,ANP32E,Not Annotated
ENSG00000197043,ANXA6,Not Annotated
ENSG00000138279,ANXA7,Not Annotated
ENSG00000100280,AP1B1,Not Annotated
ENSG00000166747,AP1G1,Not Annotated
ENSG00000072958,AP1M1,Not Annotated
ENSG00000196961,AP2A1,Not Annotated
ENSG00000183020,AP2A2,Not Annotated
ENSG00000161203,AP2M1,Not Annotated
ENSG00000042753,AP2S1,Not Annotated
ENSG00000132842,AP3B1,Not Annotated
ENSG00000065000,AP3D1,Not Annotated
ENSG00000185009,AP3M1,Not Annotated
ENSG00000177879,AP3S1,Not Annotated
ENSG00000157823,AP3S2,Not Annotated
ENSG00000134262,AP4B1,Not Annotated
ENSG00000053770,AP5M1,Not Annotated
ENSG00000164062,APEH,Not Annotated
