ENSG,Gene,Pathway
ENSG00000148584,A1CF,Not Annotated
ENSG00000204518,AADACL4,Not Annotated
ENSG00000154263,ABCA10,Not Annotated
ENSG00000179869,ABCA13,Not Annotated
ENSG00000064687,ABCA7,Not Annotated
ENSG00000085563,ABCB1,Not Annotated
ENSG00000004846,ABCB5,Not Annotated
ENSG00000114770,ABCC5,Not Annotated
ENSG00000069431,ABCC9,Not Annotated
ENSG00000101986,ABCD1,Not Annotated
ENSG00000033050,ABCF2,Not Annotated
ENSG00000143921,ABCG8,Not Annotated
ENSG00000136754,ABI1,Not Annotated
ENSG00000108798,ABI3,Not Annotated
ENSG00000097007,ABL1,Not Annotated
ENSG00000143322,ABL2,Not Annotated
ENSG00000163995,ABLIM2,Not Annotated
ENSG00000157766,ACAN,Not Annotated
ENSG00000102977,ACD,Not Annotated
ENSG00000159640,ACE,Not Annotated
ENSG00000144476,ACKR3,Not Annotated
ENSG00000122729,ACO1,Not Annotated
ENSG00000153093,ACOXL,Not Annotated
ENSG00000123983,ACSL3,Not Annotated
ENSG00000164398,ACSL6,Not Annotated
ENSG00000166743,ACSM1,Not Annotated
ENSG00000183747,ACSM2A,Not Annotated
ENSG00000075624,ACTB,Not Annotated
ENSG00000184009,ACTG1,Not Annotated
ENSG00000077080,ACTL6B,Not Annotated
ENSG00000148156,ACTL7B,Not Annotated
ENSG00000115170,ACVR1,Not Annotated
ENSG00000135503,ACVR1B,Not Annotated
ENSG00000121989,ACVR2A,Not Annotated
ENSG00000114739,ACVR2B,Not Annotated
ENSG00000137845,ADAM10,Not Annotated
ENSG00000104755,ADAM2,Not Annotated
ENSG00000008277,ADAM22,Not Annotated
ENSG00000168594,ADAM29,Not Annotated
ENSG00000069206,ADAM7,Not Annotated
ENSG00000151388,ADAMTS12,Not Annotated
ENSG00000140470,ADAMTS17,Not Annotated
ENSG00000140873,ADAMTS18,Not Annotated
ENSG00000173157,ADAMTS20,Not Annotated
ENSG00000156140,ADAMTS3,Not Annotated
ENSG00000049192,ADAMTS6,Not Annotated
ENSG00000163638,ADAMTS9,Not Annotated
ENSG00000156218,ADAMTSL3,Not Annotated
ENSG00000063761,ADCK1,Not Annotated
ENSG00000164742,ADCY1,Not Annotated
ENSG00000155897,ADCY8,Not Annotated
ENSG00000075340,ADD2,Not Annotated
ENSG00000148700,ADD3,Not Annotated
ENSG00000197177,ADGRA1,Not Annotated
ENSG00000135298,ADGRB3,Not Annotated
ENSG00000111452,ADGRD1,Not Annotated
ENSG00000156920,ADGRG4,Not Annotated
ENSG00000072071,ADGRL1,Not Annotated
ENSG00000117114,ADGRL2,Not Annotated
ENSG00000150471,ADGRL3,Not Annotated
ENSG00000164199,ADGRV1,Not Annotated
ENSG00000196616,ADH1B,Not Annotated
ENSG00000101126,ADNP,Not Annotated
ENSG00000120907,ADRA1A,Not Annotated
ENSG00000130396,AFDN,Not Annotated
ENSG00000172493,AFF1,Not Annotated
ENSG00000155966,AFF2,Not Annotated
ENSG00000144218,AFF3,Not Annotated
ENSG00000072364,AFF4,Not Annotated
ENSG00000079557,AFM,Not Annotated
ENSG00000183077,AFMID,Not Annotated
ENSG00000165923,AGBL2,Not Annotated
ENSG00000134698,AGO4,Not Annotated
ENSG00000180772,AGTR2,Not Annotated
ENSG00000153207,AHCTF1,Not Annotated
ENSG00000135541,AHI1,Not Annotated
ENSG00000124942,AHNAK,Not Annotated
ENSG00000185567,AHNAK2,Not Annotated
ENSG00000196581,AJAP1,Not Annotated
ENSG00000129474,AJUBA,Not Annotated
ENSG00000023516,AKAP11,Not Annotated
ENSG00000170776,AKAP13,Not Annotated
ENSG00000151320,AKAP6,Not Annotated
ENSG00000105127,AKAP8,Not Annotated
ENSG00000127914,AKAP9,Not Annotated
ENSG00000198074,AKR1B10,Not Annotated
ENSG00000142208,AKT1,Not Annotated
ENSG00000105221,AKT2,Not Annotated
ENSG00000117020,AKT3,Not Annotated
ENSG00000163631,ALB,Not Annotated
ENSG00000111275,ALDH2,Not Annotated
