Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human chromosome/scaffold end (bp)
ENSMUSG00000064370	mt-Cytb	ENSG00000198727	MT-CYB	MT	14747	15887
ENSMUSG00000064368	mt-Nd6	ENSG00000198695	MT-ND6	MT	14149	14673
ENSMUSG00000064367	mt-Nd5	ENSG00000198786	MT-ND5	MT	12337	14148
ENSMUSG00000064363	mt-Nd4	ENSG00000198886	MT-ND4	MT	10760	12137
ENSMUSG00000065947	mt-Nd4l	ENSG00000212907	MT-ND4L	MT	10470	10766
ENSMUSG00000064360	mt-Nd3	ENSG00000198840	MT-ND3	MT	10059	10404
ENSMUSG00000064358	mt-Co3	ENSG00000198938	MT-CO3	MT	9207	9990
ENSMUSG00000064357	mt-Atp6	ENSG00000198899	MT-ATP6	MT	8527	9207
ENSMUSG00000064356	mt-Atp8	ENSG00000228253	MT-ATP8	MT	8366	8572
ENSMUSG00000064354	mt-Co2	ENSG00000198712	MT-CO2	MT	7586	8269
ENSMUSG00000064351	mt-Co1	ENSG00000198804	MT-CO1	MT	5904	7445
ENSMUSG00000064345	mt-Nd2	ENSG00000198763	MT-ND2	MT	4470	5511
ENSMUSG00000064341	mt-Nd1	ENSG00000198888	MT-ND1	MT	3307	4262
ENSMUSG00000060216	Arrb2	ENSG00000141480	ARRB2	17	4710596	4721499
ENSMUSG00000042506	Usp22	ENSG00000124422	USP22	17	20999596	21043760
ENSMUSG00000028256	Odf2l	ENSG00000122417	ODF2L	1	86346824	86396342
ENSMUSG00000079471	Mymx	ENSG00000262179	MYMX	6	44216939	44218236
ENSMUSG00000029364	Wsb2	ENSG00000176871	WSB2	12	118032694	118062430
ENSMUSG00000043964	Orai3	ENSG00000175938	ORAI3	16	30949068	30956461
ENSMUSG00000046805	Mpeg1	ENSG00000197629	MPEG1	11	59208510	59212951
ENSMUSG00000025016	Tm9sf3	ENSG00000077147	TM9SF3	10	96518110	96587452
ENSMUSG00000027332	Ivd	ENSG00000128928	IVD	15	40405485	40435947
ENSMUSG00000045374	Wdr81	ENSG00000167716	WDR81	17	1716523	1738599
ENSMUSG00000032786	Alas1	ENSG00000023330	ALAS1	3	52198086	52214327
ENSMUSG00000068085	Cyp2d11	ENSG00000205702	CYP2D7	22	42140203	42149455
ENSMUSG00000068085	Cyp2d11	ENSG00000100197	CYP2D6	22	42126499	42130881
ENSMUSG00000020255	D10Wsu102e	ENSG00000151131	C12orf45	12	104986316	105074197
ENSMUSG00000037148	Arhgap10	ENSG00000071205	ARHGAP10	4	147732063	148072780
ENSMUSG00000020256	Aldh1l2	ENSG00000136010	ALDH1L2	12	105019784	105107643
ENSMUSG00000027452	Acss1	ENSG00000154930	ACSS1	20	25006230	25058980
ENSMUSG00000065954	Tacc1	ENSG00000147526	TACC1	8	38728186	38853028
ENSMUSG00000020780	Srp68	ENSG00000167881	SRP68	17	76038775	76072517
ENSMUSG00000026632	Tatdn3	ENSG00000203705	TATDN3	1	212791828	212816830
ENSMUSG00000032489	Kif9	ENSG00000088727	KIF9	3	47228026	47283451
ENSMUSG00000078940	Wfdc11	ENSG00000180083	WFDC11	20	45648563	45670270
ENSMUSG00000029363	Rfc5	ENSG00000111445	RFC5	12	118013588	118033130
ENSMUSG00000067704	Wfdc13	ENSG00000168634	WFDC13	20	45702038	45708817
ENSMUSG00000031441	Atp11a	ENSG00000068650	ATP11A	13	112690329	112887168
ENSMUSG00000001227	Sema6b	ENSG00000167680	SEMA6B	19	4542593	4559684
ENSMUSG00000017310	Spint4	ENSG00000149651	SPINT4	20	45722351	45725830
ENSMUSG00000042289	Hsd3b7	ENSG00000099377	HSD3B7	16	30985207	30989147
ENSMUSG00000030729	Pgm2l1	ENSG00000165434	PGM2L1	11	74330316	74398433
ENSMUSG00000032528	Vipr1	ENSG00000114812	VIPR1	3	42489299	42537573
ENSMUSG00000039103	Nexn	ENSG00000162614	NEXN	1	77888513	77943895
ENSMUSG00000076434	Wfdc3	ENSG00000124116	WFDC3	20	45747944	45791932
ENSMUSG00000052142	Rasal3	ENSG00000105122	RASAL3	19	15451624	15464544
ENSMUSG00000000184	Ccnd2	ENSG00000285901	AC008012.1	12	4273762	4405490
ENSMUSG00000000184	Ccnd2	ENSG00000118971	CCND2	12	4273762	4305353
ENSMUSG00000039768	Dnajc11	ENSG00000007923	DNAJC11	1	6634168	6701924
ENSMUSG00000014859	E2f4	ENSG00000205250	E2F4	16	67192155	67198918
ENSMUSG00000087642	Ighe	ENSG00000211891	IGHE	14	105597691	105601728
ENSMUSG00000040007	Bahd1	ENSG00000140320	BAHD1	15	40439721	40468236
ENSMUSG00000046182	Gsg1l	ENSG00000169181	GSG1L	16	27787528	28063714
ENSMUSG00000020793	Galr2	ENSG00000182687	GALR2	17	76074781	76077537
ENSMUSG00000049285	Mblac1	ENSG00000214309	MBLAC1	7	100126785	100128495
ENSMUSG00000023883	Phf10	ENSG00000130024	PHF10	6	169703902	169725566
ENSMUSG00000009145	Dqx1	ENSG00000144045	DQX1	2	74518131	74526281
ENSMUSG00000078185	Chml	ENSG00000203668	CHML	1	241628853	241640254
ENSMUSG00000059316	Slc27a4	ENSG00000167114	SLC27A4	9	128340527	128361470
ENSMUSG00000030204	Ddx47	ENSG00000213782	DDX47	12	12813316	12829981
ENSMUSG00000037280	Galnt6	ENSG00000139629	GALNT6	12	51351247	51392867
ENSMUSG00000026525	Opn3	ENSG00000054277	OPN3	1	241590102	241677376
ENSMUSG00000050199	Lgr4	ENSG00000205213	LGR4	11	27365961	27472790
ENSMUSG00000035891	Cerk	ENSG00000100422	CERK	22	46684410	46738252
ENSMUSG00000038217	Tlcd2	ENSG00000185561	TLCD2	17	1702816	1710377
ENSMUSG00000026457	Adipor1	ENSG00000159346	ADIPOR1	1	202940826	202958572
ENSMUSG00000018796	Acsl1	ENSG00000151726	ACSL1	4	184755595	184826818
ENSMUSG00000033080	Vsx1	ENSG00000100987	VSX1	20	25070885	25082365
ENSMUSG00000075181	Olfr1066	ENSG00000280314	OR8K3	11	56315144	56320639
ENSMUSG00000000215	Ins2	ENSG00000254647	INS	11	2159779	2161341
ENSMUSG00000050088	1600012H06Rik	ENSG00000185127	C6orf120	6	169702190	169704856
ENSMUSG00000060459	Kng2	ENSG00000113889	KNG1	3	186717348	186744410
ENSMUSG00000051048	P4ha3	ENSG00000149380	P4HA3	11	74235801	74311640
ENSMUSG00000111772	Olfr228	ENSG00000280314	OR8K3	11	56315144	56320639
ENSMUSG00000035314	Gdpd5	ENSG00000158555	GDPD5	11	75434640	75525941
ENSMUSG00000028037	Ifi44	ENSG00000137965	IFI44	1	78649796	78664078
ENSMUSG00000031832	Taf1c	ENSG00000103168	TAF1C	16	84177847	84187070
