ENSG	Gene	Chr	Start	End	Source	Type
ENSG00000210049	MT-TF	chrMT	577	647	HGNC Symbol	Mt_tRNA
ENSG00000211459	MT-RNR1	chrMT	648	1601	HGNC Symbol	Mt_rRNA
ENSG00000210077	MT-TV	chrMT	1602	1670	HGNC Symbol	Mt_tRNA
ENSG00000210082	MT-RNR2	chrMT	1671	3229	HGNC Symbol	Mt_rRNA
ENSG00000209082	MT-TL1	chrMT	3230	3304	HGNC Symbol	Mt_tRNA
ENSG00000198888	MT-ND1	chrMT	3307	4262	HGNC Symbol	protein_coding
ENSG00000210100	MT-TI	chrMT	4263	4331	HGNC Symbol	Mt_tRNA
ENSG00000210107	MT-TQ	chrMT	4329	4400	HGNC Symbol	Mt_tRNA
ENSG00000210112	MT-TM	chrMT	4402	4469	HGNC Symbol	Mt_tRNA
ENSG00000198763	MT-ND2	chrMT	4470	5511	HGNC Symbol	protein_coding
ENSG00000210117	MT-TW	chrMT	5512	5579	HGNC Symbol	Mt_tRNA
ENSG00000210127	MT-TA	chrMT	5587	5655	HGNC Symbol	Mt_tRNA
ENSG00000210135	MT-TN	chrMT	5657	5729	HGNC Symbol	Mt_tRNA
ENSG00000210140	MT-TC	chrMT	5761	5826	HGNC Symbol	Mt_tRNA
ENSG00000210144	MT-TY	chrMT	5826	5891	HGNC Symbol	Mt_tRNA
ENSG00000198804	MT-CO1	chrMT	5904	7445	HGNC Symbol	protein_coding
ENSG00000210151	MT-TS1	chrMT	7446	7514	HGNC Symbol	Mt_tRNA
ENSG00000210154	MT-TD	chrMT	7518	7585	HGNC Symbol	Mt_tRNA
ENSG00000198712	MT-CO2	chrMT	7586	8269	HGNC Symbol	protein_coding
ENSG00000210156	MT-TK	chrMT	8295	8364	HGNC Symbol	Mt_tRNA
ENSG00000228253	MT-ATP8	chrMT	8366	8572	HGNC Symbol	protein_coding
ENSG00000198899	MT-ATP6	chrMT	8527	9207	HGNC Symbol	protein_coding
ENSG00000198938	MT-CO3	chrMT	9207	9990	HGNC Symbol	protein_coding
ENSG00000210164	MT-TG	chrMT	9991	10058	HGNC Symbol	Mt_tRNA
ENSG00000198840	MT-ND3	chrMT	10059	10404	HGNC Symbol	protein_coding
ENSG00000210174	MT-TR	chrMT	10405	10469	HGNC Symbol	Mt_tRNA
ENSG00000212907	MT-ND4L	chrMT	10470	10766	HGNC Symbol	protein_coding
ENSG00000198886	MT-ND4	chrMT	10760	12137	HGNC Symbol	protein_coding
ENSG00000210176	MT-TH	chrMT	12138	12206	HGNC Symbol	Mt_tRNA
